"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","mgi_symbol"
"ENSMUSG00000089868",1.92479046239735,0.339959344194634,1.36471335971568,0.249106775261187,0.803278188729132,NA,"Gm16134"
"ENSMUSG00000031714",237.971859692008,-0.0459160451691712,0.184459868846351,-0.248921597181758,0.803421428875525,0.931655634099042,"Gab1"
"ENSMUSG00000068979",42.287525749257,0.077476553578484,0.311260611214332,0.248912168090341,0.803428722704041,0.931655634099042,"Gm5848"
"ENSMUSG00000074994",526.502372646913,0.0498728266848673,0.200597891752968,0.248620891521056,0.803654046728871,0.931788576595854,"Qser1"
"ENSMUSG00000024270",59.4855747718399,-0.0778595477935341,0.313218018622287,-0.248579402091889,0.803686143206943,0.931788576595854,"Slc39a6"
"ENSMUSG00000023286",290.538031433096,0.0439059857900244,0.176650384714348,0.24854735448792,0.80371093565746,0.931788576595854,"Ube2j2"
"ENSMUSG00000053293",256.330353333313,-0.0446972482119533,0.179926476485106,-0.248419516044117,0.803809835134105,0.931832225601169,"Pom121"
"ENSMUSG00000042087",3.22306053280819,0.26862952421328,1.08138971335012,0.248411392208523,0.803816120071839,NA,"4933440N22Rik"
"ENSMUSG00000082362",1.43960112428874,-0.390670237814245,1.57304649197028,-0.248352632810566,0.803861579168202,NA,"Gm5187"
"ENSMUSG00000082706",51.6111276436977,0.0809251315066341,0.325920676943415,0.248297015904529,0.803904607692799,0.931832225601169,"Gm11663"
"ENSMUSG00000025359",6.12648778324698,0.194273924179991,0.782472587802479,0.248282083242809,0.803916160583384,0.931832225601169,"Pmel"
"ENSMUSG00000034432",532.393133455031,0.0377411103760899,0.152068362136589,0.248185157292551,0.803991149923334,0.931843399045126,"Cops8"
"ENSMUSG00000093505",4.37651088829095,0.2312629647459,0.932041328159568,0.248125225522518,0.804037518634189,0.931843399045126,""
"ENSMUSG00000034936",509.454638674293,0.126263268490368,0.509585050438329,0.24777663391373,0.804307234720198,0.932014106988503,"Arl4d"
"ENSMUSG00000015002",1238.53921828428,-0.0399131348277964,0.161123109670385,-0.247718250407703,0.80435241011919,0.932014106988503,"Efr3a"
"ENSMUSG00000042520",864.846752450132,0.0355240762499896,0.14340517233759,0.24771823547872,0.804352421670871,0.932014106988503,"Ubap2l"
"ENSMUSG00000062980",1023.684778952,0.0340932758464992,0.137776565828702,0.247453372360053,0.804557372980857,0.932169589037468,"A430107O13Rik"
"ENSMUSG00000078980",4.29158785149465,0.221118120286546,0.893999292152827,0.24733590085298,0.804648276835436,0.932169589037468,"Gm2035"
"ENSMUSG00000039168",4384.66066475075,-0.0286062699711357,0.115661178145873,-0.247328191098462,0.80465424302479,0.932169589037468,"Dap"
